Group1	Group2	Similarity
10	49	3.020363231708108
10	50	3.46574623782156
10	51	3.1588154677629077
10	53	4.1391201797894945
10	54	3.7293536559091414
10	58	2.8798065219477933
10	61	4.089701492136621
10	62	4.079866283302462
10	63	3.0726839321631902
10	64	3.25320599726374
10	66	2.982454073113711
10	67	3.0156191307238114
10	70	3.0734708276039173
10	71	4.4452677980117645
10	73	2.9168317467419307
10	76	3.6105092231190232
10	81	3.562024371734604
10	83	3.04253021373926
10	84	3.060906401966555
10	85	3.839190326215987
10	86	3.4078302652962553
10	88	4.048268009437474
10	90	3.4176279235948472
10	92	3.1658938049797993
10	93	3.4105502601786486
10	95	2.8747255554442495
10	96	3.0305410848932763
10	97	4.190479586649331
10	99	3.034083945943029
11	12	4.843503191895082
11	13	4.740824609852953
11	14	3.573290422490956
11	23	3.4206338205253566
11	24	3.329190061010718
11	25	3.3881476691950763
11	30	3.220219231454091
11	33	4.754995889052589
11	35	3.19113129597321
11	36	3.246595044800327
11	39	3.216000958587099
11	40	3.175147200593795
11	41	5.149304724201319
11	42	4.148604642205698
11	46	3.149649967901433
11	52	3.1894051127567797
11	55	3.1250001369257894
11	56	3.0166915517348243
11	68	4.074259258420905
11	69	5.0088860172450005
11	70	3.095532657768284
11	74	3.106299450751661
11	75	3.027383764505786
11	77	4.041074753838236
11	79	4.0720505920927454
11	82	3.0994906502672133
11	87	3.058591485339594
11	89	3.0028878200607347
11	94	2.9638937458285803
11	98	3.051975194624449
12	13	5.131020921243169
12	14	3.6832371872233867
12	23	3.5233214874260472
12	24	3.419340926950711
12	25	3.355212627111604
12	30	3.2862696775213855
12	33	4.223132259941976
12	36	3.2157925098280504
12	39	3.1834569799674957
12	40	3.202300284674207
12	41	4.228643316797026
12	42	5.2187974975247355
12	46	4.17632460374922
12	52	3.114921865172935
12	55	3.114797397746865
12	56	3.0983049763207657
12	68	4.072922109880962
12	69	4.047157105928533
12	70	3.1674074578530886
12	74	3.0325258651082234
12	75	3.098290524157453
12	77	4.094923640563904
12	79	4.143671744321415
12	82	3.0448596281759213
12	87	2.9936422021908355
12	89	3.445575644780771
12	91	2.955703664162882
12	92	3.0562440467574437
12	94	4.040496417286615
12	98	3.013236655406867
13	14	3.7932399412462847
13	15	3.1912004975144055
13	16	3.0138534178811094
13	23	3.9156479907335786
13	24	3.4629161634341568
13	25	3.511854839444615
13	30	3.323473168824421
13	33	4.346179041451356
13	36	3.3656450248265704
13	39	3.2963448950865057
13	40	3.258648493594063
13	41	4.23239519968627
13	42	4.598031323284521
13	46	3.593011194863588
13	47	3.246853938822179
13	50	3.169269578617656
13	52	3.2144545666986994
13	55	3.1862160562769795
13	56	3.074060654920626
13	68	4.122160554812899
13	69	4.1307324918583115
13	70	3.4823479509293787
13	74	3.1137920120695073
13	75	3.08830279522002
13	77	4.0557433186368606
13	79	4.455125289221467
13	82	3.089298245259371
13	87	3.06939671735204
13	89	4.039586135065301
13	90	3.0813823803175735
13	91	3.1600555322418913
13	93	3.072330892868184
13	94	3.3660841442173495
13	98	3.087274893967824
14	18	3.7402603438903435
14	20	3.7347651575011596
14	23	4.605683203816221
14	24	4.616139358790237
14	25	4.555376556143498
14	30	4.565830559730929
14	33	3.36433774378879
14	36	4.329773823223265
14	39	4.320806789553376
14	40	5.316763659731105
14	41	3.3352732659892492
14	42	3.331055304745856
14	46	4.300524647648544
14	50	3.248396347254413
14	52	3.2079585959914128
14	55	4.2039338161082505
14	56	5.186980916577427
14	59	3.1418339420564263
14	68	3.1343826011621196
14	69	3.106017053021616
14	70	4.090110516614413
14	74	4.0875990737564605
14	75	4.142283129983133
14	77	3.126846816434243
14	79	3.0605004063655183
14	80	3.828050155918474
14	82	4.09426344478302
14	84	3.0643418208671127
14	87	5.039328715246912
14	89	4.221424692238638
14	91	3.846200279475684
14	94	4.062518526638517
14	98	3.0555471874732736
14	99	3.1393489915587525
15	16	5.7972236976331075
